h_team_id,a_team_id,day,fix_time,fix_round,temp,rain,distance,dist_time,sunset,attend,hw_odds,d_odds,h_injuries,a_injuries,h_suspensions,a_suspensions,h_penalty_c,a_penalty_c,win_lg,draw_lg,loss_lg,derby,league_pos_h,league_pos_a,tv,tv_all,radius_25k,last_home_game,points_top,points_bottom,season
5,11,6,19.450001,7,5,0,53,42,20.24,1282,2.75,2.25,2,1,1,0,0,0,1,0,0,0,10,9,0,1,0,3,3,11,2012
3,7,6,19.450001,7,6,0,350,230,20.290001,2402,.72729999,2.4000001,3,3,0,0,1,0,0,0,1,0,1,2,0,1,0,14,14,0,2012
11,12,6,19.450001,8,8,0,12,25,20.35,1228,.40000001,3,2,2,0,0,0,0,0,1,0,0,9,6,0,0,2,11,4,9,2012
5,8,6,19.450001,8,8,1,53,42,20.370001,1048,1.625,2.2,1,2,0,0,0,1,0,1,0,0,10,8,0,0,0,7,3,10,2012
4,6,6,19.450001,8,8,0,200,147,20.440001,1500,.40000001,3,3,2,0,0,0,0,0,1,0,0,7,4,0,0,0,14,6,7,2012
3,10,6,19.450001,8,9,0,263,240,20.4,3142,3.5,2.3,4,1,0,0,0,0,1,0,0,0,3,12,0,0,0,7,12,1,2012
2,9,6,19.450001,8,8,0,23,30,20.35,1500,7.5,3,0,3,0,0,0,0,0,0,1,0,2,11,0,0,2,14,13,0,2012
1,7,6,19.450001,8,8,0,130,90,20.35,1378,.57099998,2.4000001,0,3,1,2,0,0,1,0,0,0,5,1,0,0,2,14,10,3,2012
8,3,6,20,9,7,0,252,150,20.48,1033,1.1,2.2,2,6,1,0,0,0,0,0,1,0,8,3,0,1,2,14,8,7,2012
9,4,6,20,9,7,0,246,174,20.48,3100,.61540002,2.5999999,3,2,0,0,0,0,0,1,0,0,11,7,0,1,2,14,3,12,2012
7,2,6,20,9,7,0,150,100,20.540001,151,1.5,2.2,3,2,1,0,0,0,1,0,0,0,1,2,0,1,0,21,15,0,2012
12,5,6,19.450001,9,7,0,60,50,20.48,378,2.5999999,2.3,5,1,0,0,0,0,0,0,1,0,5,10,0,1,2,14,13,2,2012
6,1,6,19.450001,9,7,0,85,59,20.51,903,2,1.375,3,1,1,0,0,0,1,0,0,0,6,4,0,1,0,14,11,4,2012
10,11,6,19.049999,9,7,0,207,157,20.59,1947,.9091,2.25,2,1,0,0,0,0,1,0,0,0,12,9,1,0,0,4,0,15,2012
8,7,6,20,10,7,0,130,90,21,805,.57139999,2.75,2,2,0,2,0,1,0,0,1,0,7,1,0,1,2,7,9,4,2012
9,12,6,20,10,7,0,10,20,21,2500,.30000001,3.5,3,3,0,0,0,1,0,1,0,0,11,3,0,1,2,7,3,10,2012
5,10,6,19.450001,10,7,0,190,140,21.02,1087,3,2.25,2,2,0,0,0,0,0,1,0,0,10,12,0,1,0,14,3,10,2012
4,11,6,19.049999,10,8,0,246,174,21.110001,1250,1.6,2.0999999,4,2,1,0,0,0,0,1,0,0,8,9,1,0,0,11,9,4,2012
3,6,6,19.450001,10,7,1,272,190,21.040001,2815,.57099998,2.5999999,6,2,0,1,0,0,1,0,0,0,4,5,0,1,0,14,13,0,2012
2,1,6,19.450001,10,7,0,25,50,20.59,1100,1.875,2.25,2,4,0,0,0,0,1,0,0,0,2,6,0,1,2,14,13,0,2012
1,5,6,19.450001,11,9,0,53,42,21.120001,1306,1.5,2.2,2,0,0,0,0,0,0,0,1,0,4,9,0,0,2,21,14,1,2012
6,2,6,19.450001,11,9,0,116,69,21.16,700,1.875,2.2,2,0,0,0,0,2,0,0,1,0,2,5,0,0,0,14,15,0,2012
11,3,6,19.450001,11,9,0,252,150,21.120001,1482,.66600001,2.4000001,2,5,1,0,0,0,1,0,0,0,11,6,0,0,2,21,4,11,2012
12,8,6,19.450001,11,9,0,20,30,21.120001,602,2.2,2.2,4,2,0,0,0,0,0,1,0,0,3,8,0,0,2,14,15,0,2012
10,9,7,13.45,11,12,0,207,157,21.27,2823,1.4,2.2,1,3,0,0,0,0,1,0,0,0,12,10,1,0,0,15,0,15,2012
7,4,3,20,11,6,0,119,108,21.26,700,3.5,2.5,3,3,1,0,0,0,0,0,1,0,1,7,0,0,0,18,19,-4,2012
9,5,6,19.049999,12,10,1,53,42,21.23,2400,.53329998,2.75,2,2,2,2,0,0,0,0,1,0,10,9,1,0,2,14,8,10,2012
6,7,6,19.450001,12,9,1,46,50,21.280001,600,1.3,2.2,1,3,0,0,0,0,0,0,1,0,2,1,0,1,0,7,18,0,2012
10,8,6,19.450001,12,9,0,207,157,21.370001,2477,.53329998,2.75,1,2,0,1,0,0,1,0,0,0,12,8,0,1,0,6,0,18,2012
3,12,6,19.450001,12,9,1,252,150,21.26,2442,.61540002,2.5,5,6,0,0,1,1,0,1,0,0,5,3,0,1,0,14,15,3,2012
2,11,6,19.450001,12,9,1,28,25,21.23,1200,4,2.5,0,3,0,0,0,0,1,0,0,0,6,11,0,1,2,14,13,5,2012
